"list_hover href","list_hover src","d-flex href","product-list__price","card__text"
"https://jewelbox.co.in/round-ray-round-diamond-mens-stud/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1762249756.jpg","https://jewelbox.co.in/round-ray-round-diamond-mens-stud/","₹25,207","Round Ray Round Diamond Men's Stud"
"https://jewelbox.co.in/classic-princess-principessa-diamond-solitaire-studs/","https://d3v1ent03vl2sc.cloudfront.net/wp-content/uploads/2021/08/WER0412-4.jpg","https://jewelbox.co.in/classic-princess-principessa-diamond-solitaire-studs/","₹60,973","Classic Princess Principessa Diamond Solitaire Studs"
"https://jewelbox.co.in/arctic-light-glint-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1762929548.jpg","https://jewelbox.co.in/arctic-light-glint-diamond-earrings/","₹18,613","Arctic Light Glint Diamond Earrings"
"https://jewelbox.co.in/petite-periwinkle-diamond-ear-studs/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1751356144.jpg","https://jewelbox.co.in/petite-periwinkle-diamond-ear-studs/","₹32,744","Petite Periwinkle Diamond Ear Studs"
"https://jewelbox.co.in/classic-square-men-princess-diamond-stud/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1762413932.jpg","https://jewelbox.co.in/classic-square-men-princess-diamond-stud/","₹17,172","Classic Square Men Princess Diamond Stud"
"https://jewelbox.co.in/starstruck-beauty-diamond-earstuds/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1761988378.jpg","https://jewelbox.co.in/starstruck-beauty-diamond-earstuds/","₹26,737","Starstruck Beauty Diamond Earstuds"
"https://jewelbox.co.in/moments-from-the-heart-diamond-hoop-earrings/","https://d3v1ent03vl2sc.cloudfront.net/wp-content/uploads/2016/08/WER0297front.jpg","https://jewelbox.co.in/moments-from-the-heart-diamond-hoop-earrings/","₹79,977","Moments from the Heart Diamond Hoop Earrings"
"https://jewelbox.co.in/nova-princess-cut-diamond-stud-for-men/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1762248736.jpg","https://jewelbox.co.in/nova-princess-cut-diamond-stud-for-men/","₹14,442","Nova Princess Cut Diamond Stud For Men"
"https://jewelbox.co.in/halo-heart-cut-diamond-earstuds/","https://d3v1ent03vl2sc.cloudfront.net/wp-content/uploads/2023/12/WER0247-2.jpg","https://jewelbox.co.in/halo-heart-cut-diamond-earstuds/","₹73,067","Halo Heart Cut Diamond Earstuds"
"https://jewelbox.co.in/mystica-ascending-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/wp-content/uploads/2023/12/WER0120-2.jpg","https://jewelbox.co.in/mystica-ascending-diamond-earrings/","₹84,649","Mystica Ascending Diamond Earrings"
"https://jewelbox.co.in/peony-pear-cut-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1762940288.jpg","https://jewelbox.co.in/peony-pear-cut-diamond-earrings/","₹20,887","Peony Pear Cut Diamond Earrings"
"https://jewelbox.co.in/sparkling-porsepina-mixed-diamond-studs/","https://d3v1ent03vl2sc.cloudfront.net/wp-content/uploads/2025/03/PER1163-front-2.jpg","https://jewelbox.co.in/sparkling-porsepina-mixed-diamond-studs/","₹51,923","Sparkling Porsepina Mixed Diamond Studs"
"https://jewelbox.co.in/lustre-loop-angular-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1753857145.jpg","https://jewelbox.co.in/lustre-loop-angular-diamond-earrings/","₹20,203","Lustre Loop Angular Diamond Earrings"
"https://jewelbox.co.in/guarded-petals-checkered-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/wp-content/uploads/2025/02/PER0962-frontYG.jpg","https://jewelbox.co.in/guarded-petals-checkered-diamond-earrings/","₹42,583","Guarded Petals Checkered Diamond Earrings"
"https://jewelbox.co.in/luna-lupa-diamond-loop-earrings/","https://d3v1ent03vl2sc.cloudfront.net/wp-content/uploads/2024/12/PPS101ER-FRONT-YG.jpg","https://jewelbox.co.in/luna-lupa-diamond-loop-earrings/","₹59,210","Luna Lupa Diamond Loop Earrings"
"https://jewelbox.co.in/charming-diamond-link-stud-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1762938407.jpg","https://jewelbox.co.in/charming-diamond-link-stud-earrings/","₹13,898","Charming Diamond Link Stud Earrings"
"https://jewelbox.co.in/beauty-of-tropic-leaf-diamond-ear-studs/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1764400480.jpg","https://jewelbox.co.in/beauty-of-tropic-leaf-diamond-ear-studs/","₹1,24,908","Beauty of Tropic Leaf Diamond Ear Studs"
"https://jewelbox.co.in/black-diamond-radiance-spiral-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/76_dsg_img_model__1767789744.jpg","https://jewelbox.co.in/black-diamond-radiance-spiral-earrings/","₹43,240","Black Diamond Radiance Spiral Earrings"
"https://jewelbox.co.in/all-i-want-for-christmas-is-you-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1764409542.jpg","https://jewelbox.co.in/all-i-want-for-christmas-is-you-diamond-earrings/","₹1,30,388","All I want for Christmas Is You Diamond Earrings"
"https://jewelbox.co.in/christmas-eve-shine-diamond-danglers/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1764233717.jpg","https://jewelbox.co.in/christmas-eve-shine-diamond-danglers/","₹1,22,057","Christmas Eve Shine Diamond Danglers"
"https://jewelbox.co.in/clustered-diamond-petal-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1764315054.jpg","https://jewelbox.co.in/clustered-diamond-petal-earrings/","₹1,23,559","Clustered Diamond Petal Earrings"
"https://jewelbox.co.in/emerald-green-diamond-danglers/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1764246871.jpg","https://jewelbox.co.in/emerald-green-diamond-danglers/","₹71,359","Emerald Green Diamond Danglers"
"https://jewelbox.co.in/dainty-crystal-kiss-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1763458242.jpg","https://jewelbox.co.in/dainty-crystal-kiss-diamond-earrings/","₹49,497","Dainty Crystal Kiss Diamond Earrings"
"https://jewelbox.co.in/evening-periwinkle-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1764403758.jpg","https://jewelbox.co.in/evening-periwinkle-diamond-earrings/","₹54,917","Evening Periwinkle Diamond Earrings"
"https://jewelbox.co.in/essence-of-the-tropico-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1764402855.jpg","https://jewelbox.co.in/essence-of-the-tropico-diamond-earrings/","₹80,846","Essence of the Tropico Diamond Earrings"
"https://jewelbox.co.in/delicate-peony-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1764316874.jpg","https://jewelbox.co.in/delicate-peony-diamond-earrings/","₹22,808","Delicate Peony Diamond Earrings"
"https://jewelbox.co.in/geometric-penta-luminous-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1762238976.jpg","https://jewelbox.co.in/geometric-penta-luminous-diamond-earrings/","₹21,857","Geometric Penta Luminous Diamond Earrings"
"https://jewelbox.co.in/green-cascade-spiral-diamond-danglers/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1764310358.jpg","https://jewelbox.co.in/green-cascade-spiral-diamond-danglers/","₹44,233","Green Cascade Spiral Diamond Danglers"
"https://jewelbox.co.in/gem-of-evening-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1764321466.jpg","https://jewelbox.co.in/gem-of-evening-diamond-earrings/","₹1,32,336","Gem of Evening Diamond Earrings"
"https://jewelbox.co.in/fairy-tale-forever-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1765434662.jpg","https://jewelbox.co.in/fairy-tale-forever-diamond-earrings/","₹46,900","Fairy Tale Forever Diamond Earrings"
"https://jewelbox.co.in/signature-solitaire-diamond-stud-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1761988285.jpg","https://jewelbox.co.in/signature-solitaire-diamond-stud-earrings/","₹23,133","Signature Solitaire Diamond Stud Earrings"
"https://jewelbox.co.in/modern-mingle-link-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1762251117.jpg","https://jewelbox.co.in/modern-mingle-link-diamond-earrings/","₹25,083","Modern Mingle Link Diamond Earrings"
"https://jewelbox.co.in/bright-petals-clustered-diamond-stud-earrings/","https://d3v1ent03vl2sc.cloudfront.net/wp-content/uploads/2023/12/WER0104-4.jpg","https://jewelbox.co.in/bright-petals-clustered-diamond-stud-earrings/","₹48,193","Bright Petals Clustered Diamond Stud Earrings"
"https://jewelbox.co.in/infinite-loop-diamond-hoop-earrings-for-women/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1762767945.jpg","https://jewelbox.co.in/infinite-loop-diamond-hoop-earrings-for-women/","₹15,277","Infinite Loop Diamond Hoop Earrings for Women"
"https://jewelbox.co.in/lush-wildleaf-green-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1763977045.jpg","https://jewelbox.co.in/lush-wildleaf-green-diamond-earrings/","₹77,311","Lush Wildleaf Green Diamond Earrings"
"https://jewelbox.co.in/linear-art-deco-beauty-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1764242277.jpg","https://jewelbox.co.in/linear-art-deco-beauty-diamond-earrings/","₹26,069","Linear Art Deco Beauty Diamond Earrings"
"https://jewelbox.co.in/maribelle-bloom-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1766729726.jpg","https://jewelbox.co.in/maribelle-bloom-diamond-earrings/","₹97,290","Maribelle Bloom Diamond Earrings"
"https://jewelbox.co.in/linear-blue-radiance-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1764153825.jpg","https://jewelbox.co.in/linear-blue-radiance-diamond-earrings/","₹65,342","Linear Blue Radiance Diamond Earrings"
"https://jewelbox.co.in/sea-shell-diamond-encrusted-earstuds/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1759992653.jpg","https://jewelbox.co.in/sea-shell-diamond-encrusted-earstuds/","₹33,271","Sea Shell Diamond Encrusted Earstuds"
"https://jewelbox.co.in/prima-donna-belle-diamond-stud/","https://d3v1ent03vl2sc.cloudfront.net/wp-content/uploads/2024/10/PER0821-frontYG.jpg","https://jewelbox.co.in/prima-donna-belle-diamond-stud/","₹64,331","Prima Donna Belle Diamond Stud"
"https://jewelbox.co.in/blooming-buds-diamond-studs/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1761911162.jpg","https://jewelbox.co.in/blooming-buds-diamond-studs/","₹18,522","Blooming Buds Diamond Studs"
"https://jewelbox.co.in/blossom-love-drop-diamond-studs/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1762495520.jpg","https://jewelbox.co.in/blossom-love-drop-diamond-studs/","₹9,344","Blossom Love Drop Diamond Studs"
"https://jewelbox.co.in/fiery-sparkle-diamond-earstuds/","https://d3v1ent03vl2sc.cloudfront.net/wp-content/uploads/2015/11/WER0228-front.jpg","https://jewelbox.co.in/fiery-sparkle-diamond-earstuds/","₹1,11,190","Fiery Sparkle Diamond Studs"
"https://jewelbox.co.in/per1514/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1763966990.jpg","https://jewelbox.co.in/per1514/","₹26,411","Little Butterfly Diamond Ear Studs"
"https://jewelbox.co.in/circa-round-diamond-encrusted-earstuds/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1761806822.jpg","https://jewelbox.co.in/circa-round-diamond-encrusted-earstuds/","₹19,862","Circa Round Diamond Encrusted Earstuds"
"https://jewelbox.co.in/flower-in-a-box-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1764315673.jpg","https://jewelbox.co.in/flower-in-a-box-diamond-earrings/","₹1,10,258","Flower in a Box Diamond Earrings"
"https://jewelbox.co.in/cosmic-conch-diamond-ear-studs/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1761285699.jpg","https://jewelbox.co.in/cosmic-conch-diamond-ear-studs/","₹33,476","Cosmic Conch Diamond Ear Studs"
"https://jewelbox.co.in/circa-three-lines-diamond-earstuds/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1761817398.jpg","https://jewelbox.co.in/circa-three-lines-diamond-earstuds/","₹19,842","Circa Three Lines Diamond Earstuds"
"https://jewelbox.co.in/paired-forever-diamond-earrings/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1762254343.jpg","https://jewelbox.co.in/paired-forever-diamond-earrings/","₹14,509","Paired Forever Diamond Earrings"
"https://jewelbox.co.in/dazzling-crest-oval-diamond-studs-for-men/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1762519737.jpg","https://jewelbox.co.in/dazzling-crest-oval-diamond-studs-for-men/","₹8,316","Dazzling Crest Oval Diamond Studs For Men"
"https://jewelbox.co.in/dazzling-octagonal-princess-cut-diamond-stud-for-men/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/47_dsg_img_model__1762497595.jpg","https://jewelbox.co.in/dazzling-octagonal-princess-cut-diamond-stud-for-men/","₹10,755","Dazzling Octagonal Princess Cut Diamond Stud for Men"
"https://jewelbox.co.in/diamonds-on-a-wheel-earstuds-for-women/","https://d3v1ent03vl2sc.cloudfront.net/woo_featured_image/139_dsg_img_model__1761737616.jpg","https://jewelbox.co.in/diamonds-on-a-wheel-earstuds-for-women/","₹19,391","Diamonds on a Wheel Earstuds for Women"
